PTVlab 2010 by W.Th. & E.J.S., ASCII chart output - 30-Jul-2012
FRAME: 1, filenames: A: EXP2186.jpg & B: EXP2187.jpg, conversion factor xy (px -> m/s): 1, conversion factor uv (px/im.pair -> m/s): 1
21,91,NaN,NaN,NaN
21,101,NaN,NaN,NaN
21,111,NaN,NaN,NaN
21,121,NaN,NaN,NaN
21,131,NaN,NaN,NaN
21,141,NaN,NaN,NaN
21,151,NaN,NaN,NaN
21,161,NaN,NaN,NaN
21,171,NaN,NaN,NaN
21,181,NaN,NaN,NaN
21,191,NaN,NaN,NaN
21,201,NaN,NaN,NaN
21,211,NaN,NaN,NaN
21,221,NaN,NaN,NaN
21,231,NaN,NaN,NaN
21,241,NaN,NaN,NaN
21,251,NaN,NaN,NaN
21,261,NaN,NaN,NaN
21,271,NaN,NaN,NaN
21,281,NaN,NaN,NaN
21,291,NaN,NaN,NaN
21,301,NaN,NaN,NaN
21,311,NaN,NaN,NaN
21,321,NaN,NaN,NaN
21,331,NaN,NaN,NaN
21,341,NaN,NaN,NaN
21,351,NaN,NaN,NaN
21,361,NaN,NaN,NaN
21,371,NaN,NaN,NaN
21,381,NaN,NaN,NaN
21,391,NaN,NaN,NaN
21,401,NaN,NaN,NaN
21,411,NaN,NaN,NaN
21,421,NaN,NaN,NaN
21,431,NaN,NaN,NaN
21,441,NaN,NaN,NaN
21,451,NaN,NaN,NaN
21,461,NaN,NaN,NaN
21,471,NaN,NaN,NaN
21,481,NaN,NaN,NaN
21,491,NaN,NaN,NaN
21,501,NaN,NaN,NaN
21,511,NaN,NaN,NaN
21,521,NaN,NaN,NaN
21,531,NaN,NaN,NaN
21,541,NaN,NaN,NaN
21,551,NaN,NaN,NaN
21,561,NaN,NaN,NaN
21,571,NaN,NaN,NaN
21,581,NaN,NaN,NaN
21,591,NaN,NaN,NaN
21,601,NaN,NaN,NaN
21,611,NaN,NaN,NaN
21,621,NaN,NaN,NaN
21,631,NaN,NaN,NaN
21,641,6.542576596,-13.62232806,NaN
21,651,6.201290028,-13.39398646,NaN
21,661,6.067589057,-13.3734961,NaN
21,671,6.079190309,-13.26446758,NaN
21,681,5.550520677,-13.99992345,NaN
21,691,NaN,NaN,NaN
21,701,NaN,NaN,NaN
21,711,NaN,NaN,NaN
31,1,NaN,NaN,NaN
31,11,NaN,NaN,NaN
31,21,NaN,NaN,NaN
31,31,NaN,NaN,NaN
31,41,NaN,NaN,NaN
31,51,NaN,NaN,NaN
31,61,NaN,NaN,NaN
31,71,NaN,NaN,NaN
31,81,NaN,NaN,NaN
31,91,NaN,NaN,NaN
31,101,NaN,NaN,NaN
31,111,NaN,NaN,NaN
31,121,NaN,NaN,NaN
31,131,NaN,NaN,NaN
31,141,NaN,NaN,NaN
31,151,NaN,NaN,NaN
31,161,NaN,NaN,NaN
31,171,NaN,NaN,NaN
31,181,NaN,NaN,NaN
31,191,NaN,NaN,NaN
31,201,NaN,NaN,NaN
31,211,NaN,NaN,NaN
31,221,NaN,NaN,NaN
31,231,NaN,NaN,NaN
31,241,NaN,NaN,NaN
31,251,NaN,NaN,NaN
31,261,NaN,NaN,NaN
31,271,NaN,NaN,NaN
31,281,NaN,NaN,NaN
31,291,NaN,NaN,NaN
31,301,NaN,NaN,NaN
31,311,NaN,NaN,NaN
31,321,NaN,NaN,NaN
31,331,NaN,NaN,NaN
31,341,NaN,NaN,NaN
31,351,NaN,NaN,NaN
31,361,NaN,NaN,NaN
31,371,NaN,NaN,NaN
31,381,NaN,NaN,NaN
31,391,NaN,NaN,NaN
31,401,NaN,NaN,NaN
31,411,NaN,NaN,NaN
31,421,NaN,NaN,NaN
31,431,NaN,NaN,NaN
31,441,NaN,NaN,NaN
31,451,NaN,NaN,NaN
31,461,NaN,NaN,NaN
31,471,NaN,NaN,NaN
31,481,NaN,NaN,NaN
31,491,NaN,NaN,NaN
31,501,NaN,NaN,NaN
31,511,NaN,NaN,NaN
31,521,NaN,NaN,NaN
31,531,NaN,NaN,NaN
31,541,NaN,NaN,NaN
31,551,NaN,NaN,NaN
31,561,NaN,NaN,NaN
31,571,NaN,NaN,NaN
31,581,NaN,NaN,NaN
31,591,NaN,NaN,NaN
31,601,NaN,NaN,NaN
31,611,7.006194017,-13.94741926,NaN
31,621,6.872493046,-13.92692889,NaN
31,631,6.738792075,-13.90643853,NaN
31,641,6.605091104,-13.88594817,-0.02338447575
31,651,6.471390133,-13.86545781,-0.04257073541
31,661,6.420402304,-13.84437133,-0.04878784312
31,671,6.206716658,-14.02820779,-0.03342459445
31,681,5.555598871,-14.42997446,-0.005750189467
31,691,5.340044521,-14.61837177,NaN
31,701,NaN,NaN,NaN
31,711,NaN,NaN,NaN
41,1,NaN,NaN,NaN
41,11,NaN,NaN,NaN
41,21,NaN,NaN,NaN
41,31,NaN,NaN,NaN
41,41,6.132182334,-2.175129881,NaN
41,51,5.692763948,-3.270374564,NaN
41,61,NaN,NaN,NaN
41,71,NaN,NaN,NaN
41,81,NaN,NaN,NaN
41,91,NaN,NaN,NaN
41,101,NaN,NaN,NaN
41,111,NaN,NaN,NaN
41,121,NaN,NaN,NaN
41,131,NaN,NaN,NaN
41,141,NaN,NaN,NaN
41,151,NaN,NaN,NaN
41,161,NaN,NaN,NaN
41,171,NaN,NaN,NaN
41,181,NaN,NaN,NaN
41,191,NaN,NaN,NaN
41,201,NaN,NaN,NaN
41,211,NaN,NaN,NaN
41,221,NaN,NaN,NaN
41,231,NaN,NaN,NaN
41,241,NaN,NaN,NaN
41,251,NaN,NaN,NaN
41,261,NaN,NaN,NaN
41,271,NaN,NaN,NaN
41,281,NaN,NaN,NaN
41,291,NaN,NaN,NaN
41,301,NaN,NaN,NaN
41,311,NaN,NaN,NaN
41,321,NaN,NaN,NaN
41,331,NaN,NaN,NaN
41,341,8.822619006,-10.89978293,NaN
41,351,NaN,NaN,NaN
41,361,NaN,NaN,NaN
41,371,NaN,NaN,NaN
41,381,NaN,NaN,NaN
41,391,NaN,NaN,NaN
41,401,NaN,NaN,NaN
41,411,NaN,NaN,NaN
41,421,NaN,NaN,NaN
41,431,NaN,NaN,NaN
41,441,NaN,NaN,NaN
41,451,NaN,NaN,NaN
41,461,NaN,NaN,NaN
41,471,NaN,NaN,NaN
41,481,NaN,NaN,NaN
41,491,NaN,NaN,NaN
41,501,NaN,NaN,NaN
41,511,NaN,NaN,NaN
41,521,NaN,NaN,NaN
41,531,NaN,NaN,NaN
41,541,NaN,NaN,NaN
41,551,NaN,NaN,NaN
41,561,NaN,NaN,NaN
41,571,6.465002165,-14.35321439,NaN
41,581,6.586935494,-13.55686808,NaN
41,591,7.057045364,-13.23606522,NaN
41,601,7.789817114,-13.92102921,NaN
41,611,7.576072604,-14.23614232,0.01281069114
41,621,7.142593152,-14.39840024,-0.008406174115
41,631,7.008892181,-14.37790988,-0.03377703763
41,641,6.87519121,-14.35741952,-0.04251783218
41,651,6.749942565,-14.43008997,-0.04495281608
41,661,6.536256919,-14.61392644,-0.04699498964
41,671,6.322571273,-14.7977629,-0.04321286582
41,681,6.108885626,-14.98159937,-0.03490606162
41,691,6.022636575,-14.86781937,-0.03194030702
41,701,6.063045037,-14.63562525,NaN
41,711,NaN,NaN,NaN
51,1,NaN,NaN,NaN
51,11,NaN,NaN,NaN
51,21,7.331677324,0.1198374928,NaN
51,31,6.892258938,-0.9754071904,NaN
51,41,6.047267966,-2.226404101,0.02675293979
51,51,6.130246595,-3.436818292,NaN
51,61,NaN,NaN,NaN
51,71,NaN,NaN,NaN
51,81,NaN,NaN,NaN
51,91,NaN,NaN,NaN
51,101,NaN,NaN,NaN
51,111,NaN,NaN,NaN
51,121,NaN,NaN,NaN
51,131,NaN,NaN,NaN
51,141,NaN,NaN,NaN
51,151,NaN,NaN,NaN
51,161,NaN,NaN,NaN
51,171,NaN,NaN,NaN
51,181,NaN,NaN,NaN
51,191,NaN,NaN,NaN
51,201,NaN,NaN,NaN
51,211,NaN,NaN,NaN
51,221,NaN,NaN,NaN
51,231,NaN,NaN,NaN
51,241,NaN,NaN,NaN
51,251,NaN,NaN,NaN
51,261,NaN,NaN,NaN
51,271,NaN,NaN,NaN
51,281,NaN,NaN,NaN
51,291,NaN,NaN,NaN
51,301,NaN,NaN,NaN
51,311,NaN,NaN,NaN
51,321,NaN,NaN,NaN
51,331,NaN,NaN,NaN
51,341,NaN,NaN,NaN
51,351,8.724873663,-10.20357641,NaN
51,361,NaN,NaN,NaN
51,371,NaN,NaN,NaN
51,381,NaN,NaN,NaN
51,391,NaN,NaN,NaN
51,401,NaN,NaN,NaN
51,411,NaN,NaN,NaN
51,421,NaN,NaN,NaN
51,431,NaN,NaN,NaN
51,441,NaN,NaN,NaN
51,451,NaN,NaN,NaN
51,461,NaN,NaN,NaN
51,471,NaN,NaN,NaN
51,481,NaN,NaN,NaN
51,491,NaN,NaN,NaN
51,501,NaN,NaN,NaN
51,511,NaN,NaN,NaN
51,521,NaN,NaN,NaN
51,531,NaN,NaN,NaN
51,541,6.196865344,-14.8115388,NaN
51,551,6.631904194,-14.4533444,NaN
51,561,7.066943044,-14.09515,NaN
51,571,7.501981894,-13.7369556,-0.01062716482
51,581,7.828559293,-13.51134712,-0.03830167081
51,591,7.74504786,-13.78704121,-0.04762207668
51,601,7.661536426,-14.0627353,-0.02715858154
51,611,7.578024993,-14.3384294,-0.02392643164
51,621,7.469289578,-14.6622328,-0.01488980728
51,631,7.278992287,-14.84938123,-0.01225803747
51,641,7.097974086,-14.99525443,-0.01547351974
51,651,6.95233905,-15.10344842,-0.01356700681
51,661,6.806704015,-15.21164241,-0.004333034827
51,671,6.661068979,-15.3198364,-0.002116182253
51,681,6.515433944,-15.42803039,0.0002989675983
51,691,6.278095725,-15.3030185,-0.03409178026
51,701,6.479258988,-14.67210659,NaN
51,711,NaN,NaN,NaN
61,1,NaN,NaN,NaN
61,11,NaN,NaN,NaN
61,21,6.564799245,0.01874495449,NaN
61,31,6.647777875,-1.191669237,-0.02789493166
61,41,6.730756505,-2.402083428,-0.02586579571
61,51,6.813735135,-3.612497619,NaN
61,61,NaN,NaN,NaN
61,71,NaN,NaN,NaN
61,81,NaN,NaN,NaN
61,91,NaN,NaN,NaN
61,101,NaN,NaN,NaN
61,111,NaN,NaN,NaN
61,121,NaN,NaN,NaN
61,131,NaN,NaN,NaN
61,141,NaN,NaN,NaN
61,151,NaN,NaN,NaN
61,161,NaN,NaN,NaN
61,171,NaN,NaN,NaN
61,181,NaN,NaN,NaN
61,191,NaN,NaN,NaN
61,201,NaN,NaN,NaN
61,211,NaN,NaN,NaN
61,221,NaN,NaN,NaN
61,231,NaN,NaN,NaN
61,241,NaN,NaN,NaN
61,251,NaN,NaN,NaN
61,261,NaN,NaN,NaN
61,271,NaN,NaN,NaN
61,281,NaN,NaN,NaN
61,291,NaN,NaN,NaN
61,301,NaN,NaN,NaN
61,311,NaN,NaN,NaN
61,321,NaN,NaN,NaN
61,331,NaN,NaN,NaN
61,341,NaN,NaN,NaN
61,351,NaN,NaN,NaN
61,361,NaN,NaN,NaN
61,371,NaN,NaN,NaN
61,381,NaN,NaN,NaN
61,391,NaN,NaN,NaN
61,401,NaN,NaN,NaN
61,411,NaN,NaN,NaN
61,421,NaN,NaN,NaN
61,431,NaN,NaN,NaN
61,441,NaN,NaN,NaN
61,451,NaN,NaN,NaN
61,461,NaN,NaN,NaN
61,471,NaN,NaN,NaN
61,481,NaN,NaN,NaN
61,491,NaN,NaN,NaN
61,501,NaN,NaN,NaN
61,511,NaN,NaN,NaN
61,521,NaN,NaN,NaN
61,531,NaN,NaN,NaN
61,541,6.362098854,-14.7476933,NaN
61,551,6.797137704,-14.3894989,-0.03711933483
61,561,7.232176554,-14.0313045,-0.038233686
61,571,7.560025674,-13.80414143,-0.04400059651
61,581,7.47651424,-14.07983553,-0.04849769758
61,591,7.393002807,-14.35552962,-0.04849769758
61,601,7.309491373,-14.63122371,-0.04138371394
61,611,7.22597994,-14.90691781,-0.03342781646
61,621,7.259887622,-14.99522909,-0.02585977654
61,631,7.349661766,-14.99438612,-0.01925352969
61,641,7.43943591,-14.99354315,-0.01191772093
61,651,7.529210054,-14.99270018,-0.006465872767
61,661,7.618984199,-14.9918572,0.008756975598
61,671,7.513338339,-15.13135662,0.03008831745
61,681,7.285522609,-15.35859327,0.0416486591
61,691,7.05770688,-15.58582993,0.0153577513
61,701,7.231540382,-14.98064429,-0.03373253243
61,711,7.373267025,-14.82516837,NaN
71,1,NaN,NaN,NaN
71,11,NaN,NaN,NaN
71,21,NaN,NaN,NaN
71,31,7.331266414,-1.367348564,NaN
71,41,7.414245044,-2.577762755,NaN
71,51,7.497223674,-3.788176946,NaN
71,61,NaN,NaN,NaN
71,71,NaN,NaN,NaN
71,81,NaN,NaN,NaN
71,91,NaN,NaN,NaN
71,101,NaN,NaN,NaN
71,111,NaN,NaN,NaN
71,121,NaN,NaN,NaN
71,131,NaN,NaN,NaN
71,141,NaN,NaN,NaN
71,151,NaN,NaN,NaN
71,161,NaN,NaN,NaN
71,171,NaN,NaN,NaN
71,181,NaN,NaN,NaN
71,191,NaN,NaN,NaN
71,201,NaN,NaN,NaN
71,211,NaN,NaN,NaN
71,221,NaN,NaN,NaN
71,231,NaN,NaN,NaN
71,241,NaN,NaN,NaN
71,251,NaN,NaN,NaN
71,261,NaN,NaN,NaN
71,271,NaN,NaN,NaN
71,281,NaN,NaN,NaN
71,291,NaN,NaN,NaN
71,301,NaN,NaN,NaN
71,311,NaN,NaN,NaN
71,321,NaN,NaN,NaN
71,331,NaN,NaN,NaN
71,341,NaN,NaN,NaN
71,351,NaN,NaN,NaN
71,361,6.340526421,-10.10705221,NaN
71,371,NaN,NaN,NaN
71,381,NaN,NaN,NaN
71,391,NaN,NaN,NaN
71,401,NaN,NaN,NaN
71,411,NaN,NaN,NaN
71,421,NaN,NaN,NaN
71,431,NaN,NaN,NaN
71,441,NaN,NaN,NaN
71,451,NaN,NaN,NaN
71,461,NaN,NaN,NaN
71,471,NaN,NaN,NaN
71,481,NaN,NaN,NaN
71,491,NaN,NaN,NaN
71,501,NaN,NaN,NaN
71,511,NaN,NaN,NaN
71,521,NaN,NaN,NaN
71,531,6.092293514,-15.0420422,NaN
71,541,6.527332363,-14.6838478,-0.03711933483
71,551,6.962371213,-14.3256534,-0.03821954291
71,561,7.291492054,-14.09693575,-0.04398645342
71,571,7.207980621,-14.37262984,-0.04849769758
71,581,7.124469187,-14.64832394,-0.04363887056
71,591,7.040957754,-14.92401803,-0.03426983117
71,601,7.046602598,-15.05743245,-0.02910725679
71,611,7.136376742,-15.05658948,-0.01948686854
71,621,7.226150886,-15.0557465,-0.01502915554
71,631,7.31592503,-15.05490353,-0.01502915554
71,641,7.405699174,-15.05406056,-0.01502915554
71,651,7.495473319,-15.05321759,-0.01502915554
71,661,7.585247463,-15.05237462,-0.009852853215
71,671,7.675021607,-15.05153164,0.0167853181
71,681,7.764795751,-15.05068867,NaN
71,691,7.854569895,-15.0498457,NaN
71,701,7.9367371,-15.03119709,NaN
71,711,7.858860767,-14.63793308,NaN
81,1,NaN,NaN,NaN
81,11,NaN,NaN,NaN
81,21,NaN,NaN,NaN
81,31,NaN,NaN,NaN
81,41,NaN,NaN,NaN
81,51,8.180712213,-3.963856274,NaN
81,61,NaN,NaN,NaN
81,71,NaN,NaN,NaN
81,81,NaN,NaN,NaN
81,91,NaN,NaN,NaN
81,101,NaN,NaN,NaN
81,111,NaN,NaN,NaN
81,121,NaN,NaN,NaN
81,131,NaN,NaN,NaN
81,141,NaN,NaN,NaN
81,151,NaN,NaN,NaN
81,161,NaN,NaN,NaN
81,171,NaN,NaN,NaN
81,181,NaN,NaN,NaN
81,191,NaN,NaN,NaN
81,201,NaN,NaN,NaN
81,211,NaN,NaN,NaN
81,221,NaN,NaN,NaN
81,231,NaN,NaN,NaN
81,241,NaN,NaN,NaN
81,251,NaN,NaN,NaN
81,261,NaN,NaN,NaN
81,271,NaN,NaN,NaN
81,281,NaN,NaN,NaN
81,291,NaN,NaN,NaN
81,301,NaN,NaN,NaN
81,311,NaN,NaN,NaN
81,321,NaN,NaN,NaN
81,331,NaN,NaN,NaN
81,341,NaN,NaN,NaN
81,351,NaN,NaN,NaN
81,361,NaN,NaN,NaN
81,371,NaN,NaN,NaN
81,381,NaN,NaN,NaN
81,391,NaN,NaN,NaN
81,401,NaN,NaN,NaN
81,411,NaN,NaN,NaN
81,421,NaN,NaN,NaN
81,431,NaN,NaN,NaN
81,441,NaN,NaN,NaN
81,451,NaN,NaN,NaN
81,461,NaN,NaN,NaN
81,471,NaN,NaN,NaN
81,481,NaN,NaN,NaN
81,491,NaN,NaN,NaN
81,501,NaN,NaN,NaN
81,511,NaN,NaN,NaN
81,521,NaN,NaN,NaN
81,531,6.257527023,-14.9781967,NaN
81,541,6.692565873,-14.6200023,-0.03820539982
81,551,7.022958435,-14.38973006,-0.04397231034
81,561,6.939447002,-14.66542416,-0.04589402719
81,571,6.855935568,-14.94111825,-0.03511184588
81,581,6.833317574,-15.1196358,-0.0299492715
81,591,6.923091718,-15.11879283,-0.02174202516
81,601,7.012865862,-15.11794986,-0.01502915554
81,611,7.102640006,-15.11710689,-0.01502915554
81,621,7.19241415,-15.11626392,-0.005566832529
81,631,7.282188294,-15.11542094,NaN
81,641,7.371962439,-15.11457797,NaN
81,651,7.461736583,-15.113735,NaN
81,661,7.507282234,-15.00936598,NaN
81,671,7.4294059,-14.61610197,NaN
81,681,NaN,NaN,NaN
81,691,NaN,NaN,NaN
81,701,NaN,NaN,NaN
81,711,NaN,NaN,NaN
91,1,NaN,NaN,NaN
91,11,NaN,NaN,NaN
91,21,NaN,NaN,NaN
91,31,NaN,NaN,NaN
91,41,NaN,NaN,NaN
91,51,NaN,NaN,NaN
91,61,NaN,NaN,NaN
91,71,NaN,NaN,NaN
91,81,NaN,NaN,NaN
91,91,NaN,NaN,NaN
91,101,NaN,NaN,NaN
91,111,NaN,NaN,NaN
91,121,NaN,NaN,NaN
91,131,NaN,NaN,NaN
91,141,NaN,NaN,NaN
91,151,NaN,NaN,NaN
91,161,NaN,NaN,NaN
91,171,NaN,NaN,NaN
91,181,NaN,NaN,NaN
91,191,NaN,NaN,NaN
91,201,NaN,NaN,NaN
91,211,NaN,NaN,NaN
91,221,NaN,NaN,NaN
91,231,NaN,NaN,NaN
91,241,NaN,NaN,NaN
91,251,NaN,NaN,NaN
91,261,NaN,NaN,NaN
91,271,NaN,NaN,NaN
91,281,NaN,NaN,NaN
91,291,NaN,NaN,NaN
91,301,NaN,NaN,NaN
91,311,NaN,NaN,NaN
91,321,NaN,NaN,NaN
91,331,NaN,NaN,NaN
91,341,NaN,NaN,NaN
91,351,NaN,NaN,NaN
91,361,NaN,NaN,NaN
91,371,NaN,NaN,NaN
91,381,NaN,NaN,NaN
91,391,NaN,NaN,NaN
91,401,NaN,NaN,NaN
91,411,NaN,NaN,NaN
91,421,NaN,NaN,NaN
91,431,NaN,NaN,NaN
91,441,NaN,NaN,NaN
91,451,NaN,NaN,NaN
91,461,NaN,NaN,NaN
91,471,NaN,NaN,NaN
91,481,NaN,NaN,NaN
91,491,NaN,NaN,NaN
91,501,NaN,NaN,NaN
91,511,NaN,NaN,NaN
91,521,NaN,NaN,NaN
91,531,6.422760532,-14.91435119,NaN
91,541,6.754424816,-14.68252438,-0.04360965348
91,551,6.670913382,-14.95821847,-0.03595386059
91,561,6.62003255,-15.18183916,-0.0307912862
91,571,6.709806694,-15.18099619,-0.02399718179
91,581,6.799580838,-15.18015322,NaN
91,591,6.889354982,-15.17931024,NaN
91,601,6.979129126,-15.17846727,NaN
91,611,7.06890327,-15.1776243,NaN
91,621,7.077827367,-14.98753487,NaN
91,631,NaN,NaN,NaN
91,641,NaN,NaN,NaN
91,651,NaN,NaN,NaN
91,661,NaN,NaN,NaN
91,671,NaN,NaN,NaN
91,681,NaN,NaN,NaN
91,691,NaN,NaN,NaN
91,701,NaN,NaN,NaN
91,711,NaN,NaN,NaN
101,1,NaN,NaN,NaN
101,11,NaN,NaN,NaN
101,21,NaN,NaN,NaN
101,31,NaN,NaN,NaN
101,41,NaN,NaN,NaN
101,51,NaN,NaN,NaN
101,61,NaN,NaN,NaN
101,71,NaN,NaN,NaN
101,81,NaN,NaN,NaN
101,91,NaN,NaN,NaN
101,101,NaN,NaN,NaN
101,111,NaN,NaN,NaN
101,121,NaN,NaN,NaN
101,131,NaN,NaN,NaN
101,141,NaN,NaN,NaN
101,151,NaN,NaN,NaN
101,161,NaN,NaN,NaN
101,171,NaN,NaN,NaN
101,181,NaN,NaN,NaN
101,191,NaN,NaN,NaN
101,201,NaN,NaN,NaN
101,211,NaN,NaN,NaN
101,221,NaN,NaN,NaN
101,231,NaN,NaN,NaN
101,241,NaN,NaN,NaN
101,251,NaN,NaN,NaN
101,261,NaN,NaN,NaN
101,271,NaN,NaN,NaN
101,281,NaN,NaN,NaN
101,291,NaN,NaN,NaN
101,301,NaN,NaN,NaN
101,311,NaN,NaN,NaN
101,321,NaN,NaN,NaN
101,331,NaN,NaN,NaN
101,341,NaN,NaN,NaN
101,351,NaN,NaN,NaN
101,361,NaN,NaN,NaN
101,371,NaN,NaN,NaN
101,381,0.9573303593,-8.482874413,NaN
101,391,NaN,NaN,NaN
101,401,NaN,NaN,NaN
101,411,NaN,NaN,NaN
101,421,NaN,NaN,NaN
101,431,NaN,NaN,NaN
101,441,NaN,NaN,NaN
101,451,NaN,NaN,NaN
101,461,NaN,NaN,NaN
101,471,NaN,NaN,NaN
101,481,NaN,NaN,NaN
101,491,NaN,NaN,NaN
101,501,NaN,NaN,NaN
101,511,NaN,NaN,NaN
101,521,6.152955192,-15.20870009,NaN
101,531,6.485891197,-14.9753187,-0.03224220188
101,541,6.406747525,-15.24404252,NaN
101,551,6.49652167,-15.24319954,NaN
101,561,6.586295814,-15.24235657,NaN
101,571,6.676069958,-15.2415136,NaN
101,581,NaN,NaN,NaN
101,591,NaN,NaN,NaN
101,601,NaN,NaN,NaN
101,611,NaN,NaN,NaN
101,621,NaN,NaN,NaN
101,631,NaN,NaN,NaN
101,641,NaN,NaN,NaN
101,651,NaN,NaN,NaN
101,661,NaN,NaN,NaN
101,671,NaN,NaN,NaN
101,681,NaN,NaN,NaN
101,691,NaN,NaN,NaN
101,701,NaN,NaN,NaN
101,711,NaN,NaN,NaN
111,1,NaN,NaN,NaN
111,11,NaN,NaN,NaN
111,21,NaN,NaN,NaN
111,31,NaN,NaN,NaN
111,41,NaN,NaN,NaN
111,51,NaN,NaN,NaN
111,61,NaN,NaN,NaN
111,71,NaN,NaN,NaN
